id,name,position,team,vor,adp,bye,ppg
134,Joshua Karty,K,LAR,-1.75,301.0,8.0,0.49
135,Cedric Tillman,WR,CLE,-1.75,173.0,9.0,5.6
136,Rashid Shaheed,WR,NO,-1.76,139.0,11.0,5.6
137,Los Angeles Chargers,DEF,LAC,-1.8399999999999999,264.5,12.0,2.05
138,Cam Skattebo,RB,NYG,-1.88,106.5,14.0,3.69
139,Geno Smith,QB,LV,-1.8900000000000001,176.0,8.0,6.15
140,Los Angeles Rams,DEF,LAR,-1.9100000000000001,239.5,8.0,1.97
141,Seattle Seahawks,DEF,SEA,-1.9300000000000002,254.5,8.0,1.9500000000000002
142,Tucker Kraft,TE,GB,-2.12,115.5,5.0,9.48
143,Baltimore Ravens,DEF,BAL,-2.16,190.5,7.0,1.72
144,Tua Tagovailoa,QB,MIA,-2.22,152.0,12.0,5.82
145,Matt Gay,K,WAS,-2.24,258.0,12.0,-0.0
146,Tank Bigsby,RB,JAX,-2.38,120.5,8.0,3.19
147,Matthew Stafford,QB,LAR,-2.43,168.0,8.0,5.61
148,Darren Waller,TE,MIA,-2.44,230.0,12.0,9.16
149,Trevor Lawrence,QB,JAX,-2.47,140.5,8.0,5.57
